,content,cyber_label,environmental_issue
239,"2

Root Causes Potential Consequences

Credit Crunch

Continued credit tightening may cause vendors to suspend

operations or become insolvent as borrowing costs increase.

Unexpected Drop in Demand

An unexpected drop in demand may affect vendor viability, or

their ability to provide goods and services in a timely manner

as vendors curtail production and costs.

Continued Inflation

Inflation that is less responsive to interest rate hikes or that

continues over a long duration may escalate costs and margin

pressures on third parties.

Risk Exposure
Flawed Financial Planning Assumptions

Cost assumptions are rendered invalid as suppliers increase

prices or fail, necessitating switching costs and increased

prices for obtaining goods and services.

Loss of Key Inputs and Materials

Losing out on key inputs and materials to others that are

willing to pay higher prices.

Challenges Outside of the Supply Chain

Partners, such as managed service providers or commercial

partners, creditors, or technology vendors may cease or

curtail operations.

Third-Party

Viability

Source: 1Q23 Gartner Emerging Risks Survey, n = 321
14
Critical Infrastructure Failure
Impact Score: 3.15 / Time Frame: 2.15 / Frequency Selected: 62%

Risk Description: The risk that critical infrastructure such as road, bridges, pipelines, power grids, etc. ",,1
240,"Potential Blind Spots

Potential Overinvestment Prioritized Risks

• Workforce Planning Uncertainty

• Stagflation Expectations

• Evolving Socio-Political

Expectations

Deprioritized Risks

• Wage-Price Spiral

• Rare Earth Metals Shortage

• Overzealous Cost Cutting

• Noncompete Ban

• Mass AI Availability

• Increased Employee Leverage

• Decline in Employee Proactivity
Top 5 Risk

Other Risk
35
Top Five Emerging Risks by Potential Opportunity
Top Emerging Risks by Potential for Associated Upside*

Source: 1Q23 Gartner Emerging Risks Survey, n = 321

Q: “To what extent do you believe that there is a business opportunity associated with this risk?”

* Top emerging risks for potential associated upside ordered by business opportunity risk score, excluding risks selected by less than 25% of respondents

Evolving Socio-Political Expectations

Attain a reputation for shared values

with consumers or investors

Climate Activism

Attain a reputation for sustainability

among competitors to attract

consumers and investors

Mass AI Availability

Deploy AI in enterprise in a controlled,

and risk-conscious manner to find

efficiency gains or add new business

capabilities

Cloud Concentration Risk

Exploit cloud service provider features

to accelerate digital capability, or get

ahead of impending regulatory

challenges such as data localization

China Trade Tensions

Diversify supply chains to achieve

more resiliency and open new markets

1 2 3

4 5
36
□Understanding of current emerging risk perspective across

industries

□Example analysis of drivers and consequences related to top

emerging risks to support your evaluation

□Consider scenario analysis for geopolitical uncertainties to

obtain clarity on most relevant impacts and prioritization of

corresponding actions

Key Takeaways
37
Questions
38
How to Request Continuing Education Credit

At the conclusion of this webinar, you can claim and download credit for your participation in this Gartner

sponsored CPE eligible event by signing into your gartner.com account and going to My Profile/My

Activity in the upper right hand corner of the page.

",,0
241,"With 46% citing it as a top five risk this year,
compared to 32% last year.

In a special question on the war, internal auditors said that the
event’s immediate impact on their risks included most prominently
macroeconomic and geopolitical uncertainty.

Auditing in a time of crisis

What top five risks has the War in Ukraine had the most impact on?

",,0
242,"Following hard on
the heels of the pandemic, the war in Ukraine has intensified supply chain failures,
caused a spike in energy prices and fuelled inflation.

Now a state of crisis is the new normality.
Climate-related natural disasters, looming
recession, an accelerating cost of living
catastrophe in Europe, food shortages,
employee welfare and skills deficits,
and a rapidly industrialising cyberattack
landscape are overlaid by intensifying
geopolitical tensions and the very real
threat of financial liquidity and solvency
risks for businesses.

This has forced many organisations not just
to rewrite their risk registers, but to tear
up outdated risk taxonomies that favour
old-style siloed thinking. Sudden, systemic
organisation-wide risks with contagious,
unpredictable ramifications throughout
the enterprise are no longer seen as Black
Swan events - but as interlocking elements
of a continuous storm.

Internal auditors need to get a rapid
grip on this situation and support their
organisations to navigate more risky,
uncertain and volatile times ahead. Instead
of thinking about what individual risks
might arise over the next year or two,
chief audit executives need to be thinking
over the coming decade. And be thinking
big. How would we survive an overnight,
permanent supply chain break with China?
",,0
243,"The Consumer Products and Services industry

group stands out by rating 15 of the 38 risks for 2032 as

“Significant Impact.” Both the Healthcare and Technology,

Media and Telecommunications industry groups also have

10 or more risks rated as “Significant Impact” for 2032.

Operational risks dominate for the Technology, Media and

Telecommunications industry group, while Healthcare

organizations consider strategic risks to be most

concerning. The Energy and Utilities industry group rates

only one of the 2032 risks at the “Significant Impact” level.

Most industry groups appear more

concerned about risk conditions in

2032 as compared to 2023. ",,1
244,", wildfires, floods, extreme heat/cold, cyclones/hurricanes/typhoons) may create
significant operational challenges that threaten our assets, employees, and our ability to
deliver products and services to our customers

O 5.88

N/A

N/A

Uncertainty surrounding our organization’s core supply chain including the viability of key
suppliers, scarcity of supplies, energy sources, unpredictable shipping and distribution
logistical issues, or lack of price stability in the supply chain ecosystem may make it difficult
to deliver our products or services at acceptable margins

O 5.73

5.70

5.15

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 5.60

5.73

5.32

Changes in the overall work environment including shifts to hybrid work environments,
expansion of digital labor, changes in the nature of work and who does that work, and M&A
activities may lead to challenges to sustaining our organization’s culture and business model

O 5.55

5.25

N/A

Our approach to managing ongoing demands on or expectations of a significant portion of
our workforce to “work remotely” or increased expectations for a transformed, collaborative
hybrid work environment may negatively impact our ability to retain talent as well as the
effectiveness and efficiency of how we operate our business

O 5.54

5.26

5.38

4 5 6 7 8

2023M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2022 2021 149

http://www.protiviti.com
FIGURE 26B

Energy and Utilities — 2032

2032M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2031 2030

The rising threat associated with catastrophic natural disasters and weather phenomena
(e.g.",,1
245,", wildfires, floods, extreme heat/cold, cyclones/hurricanes/typhoons)
may create significant operational challenges that threaten our assets, employees, and
our ability to deliver products and services to our customers**

* This risk was new to the 2022 survey.

** This risk is new to the 2023 survey. 10

http://www.protiviti.com
Executive summary
This year's survey reveals interesting perceptions of

executives and directors regarding the current and long
term business environment. Key takeaways to consider

include:

Global marketplace risks are the highest in more than a

decade. Risks across the board have elevated this year in our

survey. For 2023, all but three risks were ranked higher this

year versus last year. For 2032, only a single risk was deemed

to be a lower threat a decade from now, relative to concerns

reported in last year’s report.

Shifts in risks in the short-term versus long-term demand

balancing near- and long-term priorities. There are

noticeable differences in the top risks lists for 2023 and

2032. Merely focusing on near-term risks will inadequately

prepare executives and boards for risks emerging a decade

out, given that five of the top 10 risks in 2032 did not

make the top 10 list for 2023. ",,1
246,"The ultimate guide,” TechTarget, accessed December 8, 2022; Linda
Rosencrance, “DevSecOps,” TechTarget, accessed December 8, 2022; Deloitte, “Humanising DevSecOps: Achieving speed and stability at scale,”
accessed November 15, 2022; i4, “What is the relationship between agile and DevSecOps?,” accessed November 15, 2022.

21. Matt Ashare, “DevOps and cloud lead M&A deals in enterprise software,” CIO Dive, September 30, 2022.

22. Fraser Tennant, “Tech M&A deal volumes set to rocket in next 12 months, claims new report,” Financier Worldwide, November 8, 2022; Iain Macmillan,
Mark Purowitz, and Sriram Prakash, Charting new horizons: M&A and the path to thrive, Deloitte, 2022.

23. Karthik Ramachandran et al., “TMT divestitures make a comeback: 2023 deal values in tech, media, and telecom may bounce back strongly,”
Deloitte, November 30, 2022.

24. Deloitte, “Process mining for organisational agility: What is process mining and why do we need it?,” accessed November 15, 2022.

25. Peter Krass, “The U.S. CHIPS Act: What’s in it for you?,” Tech Provider Zone, August 2, 2022.

26. Bryce Baschuk, Debby Wu, and Peter Elstrom, “Apple’s tech supply chain shows difficulty of dumping China,” Economic Times, September 30, 2022. ",,0
247,"We follow with a review of results by size

of organization and type of executive position, as well as

a breakdown by industry, geographic location and type of

ownership structure (i.e., public company, privately held,

or not-for-profit and governmental organizations). We

conclude with a discussion of plans among organizations

to improve their capabilities for managing risks and end

with diagnostic questions executives and directors may find

helpful to consider when evaluating risk assessment and

risk management processes.

1 Thirty-five of the 38 risks have been included in our survey in each of the three most recent years of our study: 2023, 2022, and 2021. One additional risk was added

to last year’s survey (2022) and two new risks were added to this year’s survey (2023). See Table 1 for a list of the 38 risks addressed in this study.

“We appreciate the support our

annual survey continues to receive

from board members and C-level

executives around the world. This

report is not possible without their

participation. Most importantly,

we appreciate the insights these

leaders have given us to share

with the market. ",,1
248,"The consequences, beyond
the expected recession in 2023, are already becoming
clear: a forced transformation of the economy in the
direction of decarbonization as well as increased risk
awareness in all parts of society, strengthening social and
economic resilience.”

READ MORE
↗ More on the impact of the energy crisis

https://www.allianz.com/en/economic_research.html
Insolvency outlook

Inflationary pressures, monetary tightening, the energy
crisis and supply chain disruptions are jeopardizing
corporates’ cash flows. But many governments decided
to tackle the current situation by deploying some strong
fiscal policies. Will these measures be enough to contain
a sharp increase in insolvencies at both global and
local levels?

After two years of decline, a broad-based acceleration
is expected, according to Allianz Trade. Global business
insolvencies should rise in 2023 (+19%), after +10% in
2022, a significant rebound which may bring global
insolvencies back above their pre-pandemic levels by the
end of the year (by +2%) it predicts.

",,0
249,", artificial intelligence, automation in all of its
forms, natural language processing, visual recognition software, virtual reality simulations)
in the marketplace and in our organization may require new skills that either are in short
supply in the market for talent or require significant efforts to upskill and reskill our existing
employees

M 5.82

4.76

4.36

Rapid speed of disruptive innovations enabled by advanced technologies (e.g.",,0
250,"Forms
of digital repression to quell politically motivated
uprisings, such as the use of spyware to track
activist activities, are already driving significant
human rights violations in the Middle East.105
Recent reports have also highlighted potential
digital rights violations in Africa stemming from
the rapid expansion of biometric programmes
that include voter registration, CCTV with facial
recognition, mandatory SIM card registration and
refugee registration.106 As more emerging markets
look towards progressing their smart city plans, the
collection of sensitive citizen data could expose
societies to additional peril if poorly governed and
protected.107

Security concerns posed by sensitive data and its
potential abuse are well-recognized by governments.
Countries have adopted more widespread data
localization policies, tightened regulation of
research collaborations, and banned some foreignowned companies from certain markets, including
telecommunications, surveillance equipment and
mobile applications, to limit the collection and
possession of sensitive data by non-allied states.108
Yet, less attention is being paid to the potential for
overreach and abuse of this data in the name of
national security. ",1.0,0
251,"In its

2021/22 Human Development Report, the UN expresses concern
about a widening gap between the most developed countries –
which are mostly managing to maintain high scores on the
Human Development Index – and developing countries, where
declines are often rapid and worsening. In this context, the UN
underlines the role of insurance “to protect everyone from the
contingencies of an uncertain world”.

(6) Soaring food prices due to Ukraine war may stoke 'unrest' in Africa, says
IMF, France 24, 28 April 2022
(7) Food insecurity threatens societies, exacerbates conflicts and ‘no country
is immune’, UN News, 19 May 2022
(8) Food Riots and Food Rights, Institute of Development Studies, June 2014

Unfortunately, a
recession in the winter
of 2022-2023 is the most
likely scenario on both
sides of the Atlantic

Inflation is eroding consumption, while at
the same time causing a sharp tightening
of monetary policy that puts a strain on
financial conditions. In principle, the
slowdown in global demand should ease
the pressure on commodity prices, but in
the case of the eurozone, which is
dependent on Russian gas, it is noneconomic factors – and specifically the
development of the conflict in Ukraine –
that dominate. ",,0
252,"If so, when there is evidence that one or

more critical assumptions underlying the strategy are

becoming, or have become, invalid, does management

act in a timely fashion on that knowledge to revisit

the strategy and undertake necessary mid-course

adjustments?

• Do decision-making processes consider the impact of a

particular decision on the organization’s risk profile?

– Is there actionable, current risk information that is

widely shared to enable more informed decision
making across the organization?

– Have we sufficiently communicated the relative

value and importance of considering risk in decision
making across the enterprise?

– Is the board sufficiently involved in the decision
making process, particularly when it involves a

significant acquisition of new businesses, entry

into new markets, the introduction of innovative

technologies or alteration of key assumptions

underlying the strategy?

• Are significant risks related to the execution of the

strategy and business model monitored over time to

consider whether:

– Changes have occurred requiring corrective action?

– The organization continues to operate within

established risk tolerances in meeting key business

objectives?

",,0
253,"71-100%
41-70%
11-40%
0-10%
N/A

Top ten wheat
producers

(% of total wheat imports from Russia and Ukraine, 2021)

Benin

Nicaragua

Turkey
Georgia

Egypt
Lebanon

Albania

Cabo Verde

Mongolia

Armenia

Qatar

Azerbaijan

Congo
(Brazzaville)
RISK OUTLOOK 2023
TEN RISK SCENARIOS THAT COULD RESHAPE THE GLOBAL ECONOMY

© The Economist Intelligence Unit Limited 20223

(the lower house of the US Congress), Nancy Pelosi, in August. China’s countermeasures have included
live-fire military exercises in and around Taiwan’s territorial waters. The US government has reiterated
that its diplomatic approach towards Taiwan has not changed, but China is increasingly sceptical of
US-Taiwan relations, particularly given the acute hostility towards China in the US Congress. The risk of
a full military invasion is mitigated by China’s reliance on Taiwan’s semiconductors and concerns about
the US’s active response to Russia’s invasion of Ukraine. However, recent military exercises by China
and a more aggressive Taiwanese response raise the risk of a miscalculation, which could spiral into a
wider conflict. Such a conflict would wipe out Taiwan’s economy, including its semiconductor industry,
on which global supply chains rely. It would also risk drawing in the US, Australia and Japan, starting a
catastrophic global conflict.

",,0
254,"“Maintaining plants that were scheduled for
decommissioning, or reactivating cold-reserve plants –
those with capacity that is not yet ready for immediate use
– puts maintenance staff under pressure, from shortage of
skills and specialist services to lack of spare parts.”

Thumm adds that any business interruption loss could
potentially be much higher as electricity prices have
soared: “It is therefore more important than ever to
assess and mitigate operational risks with a professional
underwriting and risk consulting dialogue.”

Allianz Risk Barometer 2023

22

What can businesses do
to bolster their business
continuity plans to prepare
for outages and protect
themselves against
price fluctuations?

",,0
255,"The right to privacy is enshrined by Article 12 of the Universal Declaration on Human Rights.

86. Sætra, Henrik Skaug, “Privacy as an aggregate public good”, Technology in Society, vol. 63, November
2020, https://www.sciencedirect.com/science/article/pii/S0160791X20310381.

87. Organisation for Economic Co-operation and Development (OECD), Enhancing access to and sharing of
data: reconciling risks and benefits for data re-use across societies, 2020, https://www.oecd-ilibrary.org/
sites/15c62f9c-en/index.html?itemId=/content/component/15c62f9c-en.

88. Goujard, Clothilde, “Europe edges closer to a ban on facial recognition”, Politico, 20 September 2022,
https://www.politico.eu/article/europe-edges-closer-to-a-ban-on-facial-recognition/; Heilweil, Rebecca, “Big
tech companies back away from selling facial recognition to police. That’s progress.”, Vox, 11 June 2020,
https://www.vox.com/recode/2020/6/10/21287194/amazon-microsoft-ibm-facial-recognition-moratoriumpolice.

89. Information Commissioner’s Office, Employment practices: monitoring at work draft guidance, 12 October
2022.

90. Sætra, Henrik Skaug, “Privacy as an aggregate public good”, Technology in Society, vol. 63, November
2020, https://www.sciencedirect.com/science/article/pii/S0160791X20310381.

91. Cohen, Julie E., “What privacy is for”, Harvard Law Review, 20 May 2013; Taylor, L., L. Floridi and B. Van
der Sloot, Group Privacy: New Challenges of Data Technologies, Springer, 2016; Taaffe, Ouida, “Will smart
cities tilt the balance between data capture and personal privacy?”, Raconteur, 5 September 2022, https://
www.raconteur.net/technology/will-smart-cities-tilt-the-balance-between-data-capture-and-personalprivacy/.

92. European Data Protection Supervisor, Metaverse, https://edps.europa.eu/press-publications/publications/
techsonar/metaverse_en, accessed 29 November 2022.

93. ",,0
256,"This year’s #4 risk can be seen as an opportunity to fast-forward the green
transformation but an increase in energy poverty could also undermine
the acceptance of climate policy – a new social contract is needed.

Allianz Risk Barometer 2023

23
5 Changes in legislation
and regulation
→ 19%
Ranking history: Top risk in:

China

Kenya

Namibia
3

5

2018 2019 2020 2021 2022

5
4

5

Allianz Risk Barometer 2023

24

The energy crisis has made it clear: there is no way around decarbonizing the
economy. This requires not only billions in investments in new technologies,
but also a comprehensive redesign of corporate reporting, helping to ensure
compliance challenges remain a top five risk.

Extending the reporting scope beyond the current focus on
financial risks makes the disclosure of information a much
more complex and challenging exercise, not least as the
CSRD follows a “double materiality” approach: it requires
assessing both impact directions. While the “financial
materiality” is concerned with the impact of environmental,
social, and governance (ESG) issues on the financial
performance of assets (outside-in perspective), the “impact
materiality” concentrates on the environmental and social
impacts that an asset causes (inside-out perspective).
",,1
257,"Asian experts are most likely to be positive
about preparedness, while American experts
were especially downbeat: only 12%
considered public authorities to be ready
to face financial instability risks, 13% for
macro-economic risks, and 19% for monetary
and fiscal policy risks.

Overall, both experts and the general public
from all geographies tend to consider the
private sector more prepared than public
authorities for financial risks. This should
encourage the private sector and insurers
to propose solutions. It also bolsters the case
for the private and public sectors to work hand
in hand on addressing market crises: for each
of these three risks, experts considered
public-private partnerships the best approach.

4 RAPIDLY EMERGING FINANCIAL RISKS COULD FUEL SOCIAL TENSIONS 35 / AXA FUTURE RISKS REPORT 2022
3 main concerns of general population and experts
with regard to financial stability risks

Experts are concerned
about systemic market failures

Financial instability is the only economic risk to appear
in the top ten ranking of both experts and the general public.
The two groups of respondents are mostly aligned on their main
reason for choosing this risk: systemic failure in financial
markets. ",,0
258,"When asked if people globally are more or less vulnerable to risk
than they were five years ago, 89% of experts said more
vulnerable – up from 84% last year.

Experts and the general public alike tend to believe that people
are more vulnerable in the world at large than in their own
continent, country or city: the closer to home we asked them
to think about, the less likely respondents were to say that
vulnerability is increasing. Only 67% of experts – and 61% of the
general public – agreed that people in their own city or village
were more vulnerable than they were five years ago, in both
cases slightly down on last year. This suggests that familiar
environments and networks of personal bonds alleviate the
feeling of vulnerability.

When we asked whether respondents feel vulnerable to specific
risks in their daily life, they were more likely to say yes in relation
to more tangible risks – such as pollution, terrorism, chronic
illnesses, pandemics and energy – than those which may still feel
more abstract but rank higher overall, such as geopolitical
tensions and climate change.

",,0
259,"The Americas and Africa were the only regions where experts put
cyber risks in their top two, while the Americas was the only
region in which the general public ranked it in their top three,
showing concern about cyber-attacks on big US companies and
critical services.

Europeans are focused on energy risks.
Given the potential consequences of the war in Ukraine for
Europe’s energy supply, both experts and the general public
ranked energy risks higher than in any other region – 4th and
3rd respectively.

Social tensions are a worry in America.
Experts in the Americas ranked social tensions and movements
as their 4th-highest risk, while the general public ranked it 5th.
In both cases this was higher than for any other region, reflecting
recent political turmoil.

Asian and African respondents are focused on health risks.
Asia and Africa were the only regions in which the general public
ranked pandemics and infectious diseases as their top risk, and
experts put it in the top two. The public in Africa also ranked
chronic illnesses higher than anywhere else, in 7th position.

1. Climate change
2. Geopolitical instability
3. Cyber security risks
4. Energy risks
5.    Natural resources

and biodiversity risks
6. ",1.0,0
260,"Executives and

boards are clearly focused on whether their organizations

will be able to attract the talent they need to remain

competitive, with that concern affecting them now and

perceived to be a challenge a decade from now. Human

capital management is top of mind.

This is particularly interesting when considering other

risks making the top 10 list for 2032 in tandem with

succession and talent challenges. Several of the long-term

top risk concerns relate to technology and innovation. This

interaction between talent and technology is reflected by

the second-highest risk for 2032 — perceived challenges

associated with being able to attract the talent and

skills needed to position the organization to adopt and

deploy digital technologies to remain competitive in the

marketplace. That same kind of talent and technology

interaction is also indicated by respondent concerns that

existing legacy IT operations, lack of in-house IT talent,

and limited digital thinking and expertise, particularly

in the C-suite, may make it difficult for the organization

to compete in a digital marketplace. ",,0
261,"It is the risk small companies are most concerned
about (see page 35), is the cause of business interruption
companies fear most (see page 14), while cyber security
resilience ranks as the most concerning environmental,
social, and governance (ESG) risk trend (see page 26).

11

Up on previous year No change

Down on previous year
Top exposures

According to Allianz Risk Barometer respondents, a
data breach is the exposure which concerns companies
most (53%), given data privacy and protection is one of
the key cyber risks and related legislation has toughened
globally in recent years. Such incidents can result in
significant notification costs, fines and penalties, and
also lead to litigation or demands for compensation from
affected customers, suppliers and data breach victims,
notwithstanding any reputational damage to the impacted
company. The average cost of a data breach reached
an all-time high in 2022 of $4.35mn2, according to IBM’s
annual cost of a data breach report, and is expected to
surpass $5mn in 2023, although these numbers constitute
small change compared to the costs that can be involved
in ‘mega breach’ events. ",1.0,0
262,"No Not aplicableYes Unsure

Our board understands how the proposed
disclosure requirements would affect the company 65% 23% 12% 0%

Management has performed a gap assessment
of the company’s current disclosures 70% 14% 16% 0%

The company’s processes and controls
over ESG information are adequate 64% 23% 13% 0%
18

Corporate board directors

*Note: Total may not add up to 100% due to rounding.
Source: PwC Pulse Survey, November 2, 2022: base of 657, Board base of 69 PwC Pulse Survey - November 2022

Do you agree or disagree with the following statements regarding
domestic and global proposed climate and sustainability disclosure
requirements? For the EU’s Corporate Sustainability Reporting
Directive (CSRD)

No Not aplicableYes Unsure

Our board understands whether or not the
company will need to comply with the CSRD 23% 35% 30% 12%

Our board understands how the
company will be impacted by the CSRD 20% 35% 32% 13%

Our board understands the concept of
double materiality as it relates to CSRD 26% 28% 33% 13%
COO and operations leaders

19

*Note: Total may not add up to 100% due to rounding.
",,0
263,", post-Brexit implementations, escalating tariffs, border
restrictions and shifts to multilateralism) as well as assumptions underlying globalization may affect our
ability to operate effectively and efficiently in international markets

Macroeconomic 5.11 4.61 10.8%

Performance shortfalls (including lack of progress on ESG goals/expectations) may trigger activist
shareholders who seek significant changes to our organization’s strategic plan and vision

Strategic 5.34 4.83 10.6%

Political uncertainty surrounding the influence and continued tenure of key global leaders, shifts in the
balance of global power, and political extremism may impact the stability of national and international
markets to the point of significantly limiting our growth opportunities

Macroeconomic 5.42 4.94 9.7%

TABLE 4

The five risks with highest level of increase — 2023 vs. 2022 41

http://www.protiviti.com
Not surprisingly, macroeconomic risks dominate the list

of risks increasing the most for 2023 over 2022. The

overarching theme among these four macroeconomic risks

relates to overall concerns among geopolitics, presumably

influenced by the war in Ukraine, regional tensions and

other geopolitical uncertainties, as many countries are

facing elections and potential leadership changes. In

addition, concerns related to monetary policy, interest

rates, inflation and global trade policies are on the minds

of respondents. ",,1
264,"9
Technological

Climate & ESG Political

Talent

Economic
Impact

Low

Medium

High

Time Frame

Within 1 year

1-2 years

2+ years

1Q23 Emerging Risk Universe Map

Impact

Low

Medium

High

Source: 1Q23 Gartner Emerging Risks Survey, n = 321

5

9
10

87

15
1

12

13

2

3

1819
20

6

16

11
4

14

17

# Risk Category Risk Name

1 Climate & ESG Climate Activism

2 Climate & ESG Critical Infrastructure Failure

3 Climate & ESG New Extreme Weather Events

4 Economic Financial Planning Uncertainty

5 Economic
Market Effects From Higher Borrowing

Costs

6 Economic Overzealous Cost Cutting

7 Economic Rare Earth Metals Shortage

8 Economic Sovereign Debt Crisis

9 Economic Stagflation Expectations

10 Economic Wage-Price Spiral

11 Technological Cloud Concentration Risk

12 Technological Mass AI Availability

13 Technological Personal Data Regulatory Fragmentation

14 Technological Third Party Viability

15 Political China Trade Tensions

16 Political Evolving Socio-Political Expectations

17 Talent Decline in Employee Proactivity

18 Talent Increased Employee Leverage

19 Talent Noncompete Ban

20 Talent Workforce Planning Uncertainty
10
The 1Q23 Risk Meteors
Top Emerging Risks for 1Q23

By Risk Score1

Source: 1Q23 Gartner Emerging Risks Survey

1 Risk Score = SQRT (Impact x Inverse Time Frame) x Frequency Selected as a Top 10 Emerging Risk

Ranked Time to Impact

Score

Rank
Risk Name

Impact

Score

Time Frame

Score
Frequency

Evolving Socio
Political

Expectations

2.65 2.13 69%

Third Party Viability 2.84 2.13 66%

Critical Infrastructure

Failure
3.15 2.15 62%

Financial Planning

Uncertainty
2.70 1.82 63%

China Trade

Tensions
2.85 1.88 60%

1

2

3

4

5

Organization

n = 321

1

Evolving Socio
Political Expectations
5

China Trade

Tensions

4

Financial Planning

Uncertainty

3

Critical

Infrastructure

Failure

2

Third Party

Viability
11
1Q23 Risk Meteors
12
Evolving Socio-Political Expectations
Impact Score: 2.65 / Time Frame: 2.13 / Frequency Selected: 69%

Risk Description: The risk that organizations, driven by pressure from customers, investors and/or employees, will need to respond to a growing number of social or
political issues.

",,1
265,"Although this expansion has provided new avenues
of financing, the coordination of relief between
international organizations, the “Paris Club” and

other state creditors, as well as the private sector will
continue to complicate attempts at restructuring. For
example, only three countries – Chad, Ethiopia and
Zambia – are currently undergoing treatment under
the G20 Common Framework for Debt Treatments.
All remain unresolved, reflecting challenging
geopolitical and economic dynamics as well as a
lack of transparency.131

The call for wealthier economies to intervene
bilaterally is growing – likely increasing longer-term
geopolitical tensions. China has become a large
bilateral creditor to many low-income countries
and, by some estimates, has become the largest
official creditor globally.132 Energy exporters, such as
the Middle East and the United States of America,
are also well-placed to step into the gap over the
medium-term. Renewed soft power approaches
and debt-trap diplomacy could redraw regional
and global political lines, driving currency blocs
and possibly exacerbating pressures on developing
countries as supply chains shift to mirror economic
alliances.133 This trend could also destabilize security
dynamics, as debt is leveraged to pull developing
economies into the military expansion of larger
powers (see Chapter 2.4: Human security).

",,0
266,"We also hope

that the insights, calls for action and the above diagnostic

serve as a catalyst for an updated assessment of risks and

improvements in risk management capabilities within

organizations. 197

http://www.protiviti.com
Research team and authors

NC State University’s ERM Initiative

Mark Beasley

Professor and Director of the ERM Initiative

Bruce Branson

Professor and Associate Director of the ERM Initiative

Don Pagach

Professor and Director of Research of the ERM Initiative

Protiviti

Carol Beaumier

Senior Managing Director

Jim DeLoach

Managing Director

Kevin Donahue

Senior Director

Antonia Laplanche

Manager 198

http://www.protiviti.com
About Protiviti

Protiviti (www.protiviti.com) is a global consulting firm that delivers deep expertise, objective

insights, a tailored approach, and unparalleled collaboration to help leaders confidently face

the future. Protiviti and our independent and locally owned Member Firms provide clients

with consulting and managed solutions in finance, technology, operations, data, digital, legal,

governance, risk and internal audit through our network of more than 85 offices in over

25 countries.

Named to the 2022 Fortune 100 Best Companies to Work For® list, Protiviti has served more

than 80 percent of Fortune 100 and nearly 80 percent of Fortune 500 companies. ",,0
267,", artificial intelligence, automation in all of its
forms, natural language processing, visual recognition software, virtual reality simulations)
in the marketplace and in our organization may require new skills that either are in short
supply in the market for talent or require significant efforts to upskill and reskill our existing
employees

M 5.64

5.73

5.77

4 5 6 7 8

2023M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2022 2021 60

http://www.protiviti.com
FIGURE 5B

Revenues $10B or greater — 2032

The adoption of digital technologies (e.g., artificial intelligence, automation in all of its forms,
natural language processing, visual recognition software, virtual reality simulations) in the
marketplace and in our organization may require new skills that either are in short supply in the
market for talent or require significant efforts to upskill and reskill our existing employees

M 6.04

6.20

5.79

Rapid speed of disruptive innovations enabled by advanced technologies (e.g.",,0
268,"The potential
result is the de-prioritization of investment and slow
decay of public infrastructure and services in both
developing and advanced markets.138 Around twofifths of low- and lower-middle-income countries

China

Bilateral, excluding
China

Multilateral

Private creditors,
banks

Private creditors,
bonds

Private creditors,
others

U
S

$
(b

ill
io

ns
)

2015 2020

0

50B

100B

250B

300B

150B

200B

2010200520001995199019851980

B. General government debt

The composition of public debtF I G U R E  2 . 1 0

Source

World Bank, International Debt Statistics database.134

Note

General Government Debt for 68 of the 72 Debt Service Suspension Initiative (DSSI) countries by
creditor type.
2023   48
cut expenditure on education by an average of
13.5% since 2020, which, despite a minor rebound,
fell again in 2022.139 As referenced in Chapter 2:
Human health, the lingering economic, educational
and healthcare overhang of the pandemic continues
to weaken the capacity of public systems that also
face compounding pressure from ageing populations
in advanced economies, and rapidly expanding
populations in some developing markets. ",,0
269,"

Report: Allianz Risk Barometer 2023

Allianz Risk Barometer
Identifying the major business risks for 2023
The most important corporate concerns for the year ahead,
ranked by 2,712 risk management experts from a record 94
countries and territories.

Allianz Global
Corporate & Specialty
Allianz Risk Barometer 2023

2

The 12th Allianz Risk Barometer incorporates
the views of 2,712 respondents from
94 countries and territories. The annual
corporate risk survey was conducted
among Allianz customers (businesses
around the globe), brokers and industry
trade organizations. It also surveyed risk
consultants, underwriters, senior managers,
claims experts, as well as other risk
management professionals in the corporate
insurance segment of both AGCS and other
Allianz entities.

Respondents were questioned during October
and November 2022. The survey focused
on large- and small- to mid-size companies.
Respondents were asked to select the
industry about which they were particularly
knowledgeable and to name up to three risks
they believed to be most important.

Most answers were for large-size companies
(>$500mn annual revenue) [1,281
respondents, 47%]. Mid-size companies
($250mn to $500mn revenue) contributed
519 respondents (19%), while small-size
enterprises (<$250mn revenue) produced
912 respondents (34%). Risk experts from 23
industry sectors were featured.

",,0
